ts,pair,open,high,low,close
2026-05-01 00:00:00+00:00,USD_JPY,156.447,156.64,156.447,156.576
2026-05-01 01:00:00+00:00,USD_JPY,156.576,156.745,156.562,156.661
2026-05-01 02:00:00+00:00,USD_JPY,156.661,157.02,156.642,156.989
2026-05-01 03:00:00+00:00,USD_JPY,156.989,157.305,156.964,157.08
2026-05-01 04:00:00+00:00,USD_JPY,157.079,157.255,157.047,157.198
2026-05-01 05:00:00+00:00,USD_JPY,157.198,157.326,157.128,157.237
2026-05-01 06:00:00+00:00,USD_JPY,157.235,157.291,156.991,157.185
2026-05-01 07:00:00+00:00,USD_JPY,157.184,157.279,157.109,157.246
2026-05-01 08:00:00+00:00,USD_JPY,157.247,157.297,157.201,157.28
2026-05-01 09:00:00+00:00,USD_JPY,157.279,157.293,155.489,155.965
2026-05-01 10:00:00+00:00,USD_JPY,155.965,156.724,155.867,156.624
2026-05-01 11:00:00+00:00,USD_JPY,156.624,156.655,156.263,156.472
2026-05-01 12:00:00+00:00,USD_JPY,156.472,156.759,156.422,156.578
2026-05-01 13:00:00+00:00,USD_JPY,156.578,156.627,156.487,156.591
2026-05-01 14:00:00+00:00,USD_JPY,156.591,156.623,156.439,156.581
2026-05-01 15:00:00+00:00,USD_JPY,156.581,156.642,156.388,156.594
2026-05-01 16:00:00+00:00,USD_JPY,156.601,156.755,156.336,156.5
2026-05-01 17:00:00+00:00,USD_JPY,156.5,156.725,156.367,156.638
2026-05-01 18:00:00+00:00,USD_JPY,156.638,156.897,156.623,156.76
2026-05-01 19:00:00+00:00,USD_JPY,156.76,156.944,156.67,156.941
2026-05-01 20:00:00+00:00,USD_JPY,156.941,157.028,156.852,156.931
2026-05-01 21:00:00+00:00,USD_JPY,156.931,157.119,156.915,157.014
2026-05-01 22:00:00+00:00,USD_JPY,157.014,157.092,157.0,157.061
2026-05-01 23:00:00+00:00,USD_JPY,157.061,157.086,156.962,157.034
2026-05-04 00:00:00+00:00,USD_JPY,156.705,156.796,156.667,156.717
2026-05-04 01:00:00+00:00,USD_JPY,156.717,156.925,156.682,156.831
2026-05-04 02:00:00+00:00,USD_JPY,156.831,156.9,156.794,156.898
2026-05-04 03:00:00+00:00,USD_JPY,156.898,156.993,156.866,156.908
2026-05-04 04:00:00+00:00,USD_JPY,156.908,157.08,156.614,157.039
2026-05-04 05:00:00+00:00,USD_JPY,157.039,157.196,157.024,157.125
2026-05-04 06:00:00+00:00,USD_JPY,157.131,157.248,155.71,156.203
2026-05-04 07:00:00+00:00,USD_JPY,156.203,156.788,156.134,156.729
2026-05-04 08:00:00+00:00,USD_JPY,156.73,156.865,156.53,156.784
2026-05-04 09:00:00+00:00,USD_JPY,156.784,156.939,156.735,156.925
2026-05-04 10:00:00+00:00,USD_JPY,156.925,156.981,156.817,156.895
2026-05-04 11:00:00+00:00,USD_JPY,156.895,156.978,156.885,156.952
2026-05-04 12:00:00+00:00,USD_JPY,156.952,157.012,156.895,156.969
2026-05-04 13:00:00+00:00,USD_JPY,156.969,157.203,156.961,157.116
2026-05-04 14:00:00+00:00,USD_JPY,157.116,157.182,157.065,157.174
2026-05-04 15:00:00+00:00,USD_JPY,157.174,157.182,157.023,157.14
2026-05-04 16:00:00+00:00,USD_JPY,157.139,157.183,156.97,157.016
2026-05-04 17:00:00+00:00,USD_JPY,157.016,157.157,156.926,157.091
2026-05-04 18:00:00+00:00,USD_JPY,157.091,157.3,156.942,157.199
2026-05-04 19:00:00+00:00,USD_JPY,157.199,157.3,157.138,157.27
2026-05-04 20:00:00+00:00,USD_JPY,157.27,157.285,157.167,157.227
2026-05-04 21:00:00+00:00,USD_JPY,157.226,157.277,156.554,156.731
2026-05-04 22:00:00+00:00,USD_JPY,156.731,157.131,156.731,157.097
2026-05-04 23:00:00+00:00,USD_JPY,157.095,157.282,157.095,157.24
2026-05-05 00:00:00+00:00,USD_JPY,157.194,157.204,157.042,157.134
2026-05-05 01:00:00+00:00,USD_JPY,157.132,157.267,157.123,157.227
2026-05-05 02:00:00+00:00,USD_JPY,157.227,157.237,157.175,157.213
2026-05-05 03:00:00+00:00,USD_JPY,157.213,157.256,157.168,157.211
2026-05-05 04:00:00+00:00,USD_JPY,157.211,157.269,157.187,157.211
2026-05-05 05:00:00+00:00,USD_JPY,157.211,157.231,157.186,157.22
2026-05-05 06:00:00+00:00,USD_JPY,157.22,157.267,157.213,157.266
2026-05-05 07:00:00+00:00,USD_JPY,157.266,157.296,157.237,157.284
2026-05-05 08:00:00+00:00,USD_JPY,157.285,157.298,157.212,157.279
2026-05-05 09:00:00+00:00,USD_JPY,157.279,157.296,157.193,157.226
2026-05-05 10:00:00+00:00,USD_JPY,157.226,157.239,157.08,157.236
2026-05-05 11:00:00+00:00,USD_JPY,157.236,157.284,157.203,157.279
2026-05-05 12:00:00+00:00,USD_JPY,157.279,157.879,157.11,157.511
2026-05-05 13:00:00+00:00,USD_JPY,157.511,157.67,157.49,157.616
2026-05-05 14:00:00+00:00,USD_JPY,157.617,157.793,157.61,157.746
2026-05-05 15:00:00+00:00,USD_JPY,157.746,157.839,157.64,157.77
2026-05-05 16:00:00+00:00,USD_JPY,157.77,157.796,157.674,157.78
2026-05-05 17:00:00+00:00,USD_JPY,157.776,157.827,157.673,157.678
2026-05-05 18:00:00+00:00,USD_JPY,157.678,157.729,157.608,157.68
2026-05-05 19:00:00+00:00,USD_JPY,157.68,157.802,157.654,157.788
2026-05-05 20:00:00+00:00,USD_JPY,157.788,157.886,157.77,157.851
2026-05-05 21:00:00+00:00,USD_JPY,157.851,157.918,157.837,157.874
2026-05-05 22:00:00+00:00,USD_JPY,157.875,157.917,157.861,157.879
2026-05-05 23:00:00+00:00,USD_JPY,157.877,157.896,157.838,157.895
2026-05-06 00:00:00+00:00,USD_JPY,157.858,157.887,157.71,157.88
2026-05-06 01:00:00+00:00,USD_JPY,157.885,157.932,157.587,157.729
2026-05-06 02:00:00+00:00,USD_JPY,157.729,157.733,157.538,157.675
2026-05-06 03:00:00+00:00,USD_JPY,157.675,157.705,157.551,157.593
2026-05-06 04:00:00+00:00,USD_JPY,157.593,157.696,157.577,157.696
2026-05-06 05:00:00+00:00,USD_JPY,157.696,157.831,157.653,157.812
2026-05-06 06:00:00+00:00,USD_JPY,157.812,157.891,157.724,157.775
2026-05-06 07:00:00+00:00,USD_JPY,157.775,157.823,155.03,155.939
2026-05-06 08:00:00+00:00,USD_JPY,155.94,156.388,155.754,156.319
2026-05-06 09:00:00+00:00,USD_JPY,156.321,156.456,156.306,156.388
2026-05-06 10:00:00+00:00,USD_JPY,156.388,156.564,155.726,155.821
2026-05-06 11:00:00+00:00,USD_JPY,155.821,156.291,155.759,155.981
2026-05-06 12:00:00+00:00,USD_JPY,155.981,156.109,155.917,155.927
2026-05-06 13:00:00+00:00,USD_JPY,155.927,156.123,155.614,155.756
2026-05-06 14:00:00+00:00,USD_JPY,155.756,156.108,155.701,156.086
2026-05-06 15:00:00+00:00,USD_JPY,156.086,156.307,156.086,156.282
2026-05-06 16:00:00+00:00,USD_JPY,156.282,156.316,156.056,156.116
2026-05-06 17:00:00+00:00,USD_JPY,156.116,156.296,156.048,156.28
2026-05-06 18:00:00+00:00,USD_JPY,156.28,156.456,156.271,156.438
2026-05-06 19:00:00+00:00,USD_JPY,156.438,156.487,156.366,156.429
2026-05-06 20:00:00+00:00,USD_JPY,156.429,156.514,156.356,156.487
2026-05-06 21:00:00+00:00,USD_JPY,156.487,156.488,156.358,156.403
2026-05-06 22:00:00+00:00,USD_JPY,156.403,156.438,156.351,156.418
2026-05-06 23:00:00+00:00,USD_JPY,156.418,156.453,156.295,156.343
2026-05-07 00:00:00+00:00,USD_JPY,156.307,156.35,156.212,156.224
2026-05-07 01:00:00+00:00,USD_JPY,156.224,156.377,156.215,156.339
2026-05-07 02:00:00+00:00,USD_JPY,156.339,156.523,156.281,156.52
2026-05-07 03:00:00+00:00,USD_JPY,156.52,156.526,156.218,156.321
2026-05-07 04:00:00+00:00,USD_JPY,156.321,156.353,156.021,156.216
2026-05-07 05:00:00+00:00,USD_JPY,156.216,156.349,156.151,156.335
2026-05-07 06:00:00+00:00,USD_JPY,156.336,156.435,156.307,156.416
2026-05-07 07:00:00+00:00,USD_JPY,156.416,156.421,156.306,156.356
2026-05-07 08:00:00+00:00,USD_JPY,156.357,156.397,156.304,156.374
2026-05-07 09:00:00+00:00,USD_JPY,156.374,156.411,156.105,156.288
2026-05-07 10:00:00+00:00,USD_JPY,156.288,156.294,156.022,156.262
2026-05-07 11:00:00+00:00,USD_JPY,156.262,156.34,156.184,156.326
2026-05-07 12:00:00+00:00,USD_JPY,156.326,156.417,156.303,156.374
2026-05-07 13:00:00+00:00,USD_JPY,156.374,156.402,156.286,156.397
2026-05-07 14:00:00+00:00,USD_JPY,156.397,156.472,156.348,156.404
2026-05-07 15:00:00+00:00,USD_JPY,156.404,156.422,156.242,156.284
2026-05-07 16:00:00+00:00,USD_JPY,156.284,156.407,156.253,156.342
2026-05-07 17:00:00+00:00,USD_JPY,156.342,156.404,156.168,156.253
2026-05-07 18:00:00+00:00,USD_JPY,156.253,156.514,156.246,156.484
2026-05-07 19:00:00+00:00,USD_JPY,156.484,156.646,156.47,156.635
2026-05-07 20:00:00+00:00,USD_JPY,156.635,156.861,156.628,156.669
2026-05-07 21:00:00+00:00,USD_JPY,156.67,156.865,156.608,156.744
2026-05-07 22:00:00+00:00,USD_JPY,156.744,156.875,156.688,156.873
2026-05-07 23:00:00+00:00,USD_JPY,156.871,156.953,156.744,156.918
2026-05-08 00:00:00+00:00,USD_JPY,156.854,156.917,156.724,156.808
2026-05-08 01:00:00+00:00,USD_JPY,156.808,156.955,156.808,156.888
2026-05-08 02:00:00+00:00,USD_JPY,156.888,156.914,156.822,156.848
2026-05-08 03:00:00+00:00,USD_JPY,156.849,156.991,156.813,156.97
2026-05-08 04:00:00+00:00,USD_JPY,156.97,156.975,156.853,156.903
2026-05-08 05:00:00+00:00,USD_JPY,156.903,156.957,156.873,156.889
2026-05-08 06:00:00+00:00,USD_JPY,156.889,156.897,156.769,156.839
2026-05-08 07:00:00+00:00,USD_JPY,156.839,156.9,156.827,156.846
2026-05-08 08:00:00+00:00,USD_JPY,156.847,156.884,156.812,156.835
2026-05-08 09:00:00+00:00,USD_JPY,156.835,156.847,156.714,156.831
2026-05-08 10:00:00+00:00,USD_JPY,156.831,156.853,156.739,156.832
2026-05-08 11:00:00+00:00,USD_JPY,156.832,156.858,156.636,156.703
2026-05-08 12:00:00+00:00,USD_JPY,156.703,156.711,156.63,156.68
2026-05-08 13:00:00+00:00,USD_JPY,156.68,156.788,156.655,156.771
2026-05-08 14:00:00+00:00,USD_JPY,156.771,156.786,156.725,156.75
2026-05-08 15:00:00+00:00,USD_JPY,156.75,156.825,156.518,156.642
2026-05-08 16:00:00+00:00,USD_JPY,156.643,156.701,156.434,156.522
2026-05-08 17:00:00+00:00,USD_JPY,156.522,156.666,156.506,156.627
